Throughput,16.31590459,58.47757849,121.9192503,478.3148557
Latency,61.2908676,136.81239,131.2500421,16.7332044
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,8,16,16
Throughput,16.16601965,57.50504897,120.6421367,668.4973176
Latency,61.85912322,139.1260387,132.6392851,23.94991631
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,16,1,1
Throughput,16.85484405,67.46127413,45.02872891,97.97262413
Latency,59.33110219,237.1887465,22.20902161,10.20791035
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,16,1,8
Throughput,16.43583765,64.36545967,43.82735543,483.4618528
Latency,60.84363245,248.5961681,22.81777738,16.5551438
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,16,1,16
Throughput,16.28534484,63.28589124,43.39695716,676.1473646
Latency,61.40587921,252.8366028,23.0440677,23.67911981
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,16,8,1
Throughput,16.70215616,66.04329481,127.9374203,96.84332955
Latency,59.87348674,242.28096,62.53839108,10.32693387
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,16,8,8
Throughput,16.28521988,63.03029018,124.3393987,477.1024829
Latency,61.40635037,253.8618449,64.34784446,16.77570555
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,16,8,16
Throughput,16.13546729,61.97902696,123.0527701,666.7134823
Latency,61.97625104,258.1674817,65.02057795,24.01395403
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,16,16,1
Throughput,16.71850675,66.19350059,125.3681339,96.9639911
Latency,59.81493184,241.7312134,127.6397771,10.3140843
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,16,16,8
Throughput,16.30134902,63.171775,121.7969458,477.7810363
Latency,61.34559369,253.2933096,131.3818234,16.75189149
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,1,16,16,16
Throughput,16.15151725,62.11752977,120.5205817,667.7194034
Latency,61.91466548,257.5918832,132.773047,23.9778005
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,8,1,1,1
Throughput,58.21994117,31.60448951,44.93526264,97.72799428
Latency,137.4177833,31.64205173,22.2552148,10.23346004
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,8,1,1,8
Throughput,56.68457604,30.19807212,43.73595744,482.0326108
Latency,141.1396858,33.11567419,22.86545919,16.60420714
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,8,1,1,16
Throughput,56.13427322,29.70665205,43.3062952,673.994419
Latency,142.5232481,33.66347157,23.09230853,23.75470824
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,8,1,8,1
Throughput,57.64316833,30.96553599,127.6432097,96.60182041
Latency,138.7926962,32.29494454,62.68252063,10.35274925
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,8,1,8,8
Throughput,56.11764014,29.59462494,124.0526565,475.6960292
Latency,142.5654892,33.79089715,64.49656359,16.82528186
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,8,1,8,16
Throughput,55.57084329,29.11537758,122.7686777,664.5982543
Latency,143.9682047,34.34708879,65.17102047,24.09033387
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,8,1,16,1
Throughput,57.70488517,31.0332699,125.0721405,96.72214946
Latency,138.6442622,32.224459,127.94181,10.33987093
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,8,1,16,8
Throughput,56.17830583,29.65861557,121.5087298,476.3721596
Latency,142.4115444,33.71799293,131.693421,16.80141229
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,8,1,16,16
Throughput,55.63113434,29.17808448,120.2351229,665.6001693
Latency,143.8121856,34.27327524,133.0882358,24.0540947
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,8,8,1,1
Throughput,57.88550006,61.41242757,44.67431966,97.11133879
Latency,138.2116875,130.2746128,22.38520194,10.29843615
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,8,8,1,8
Throughput,56.35448612,58.61339641,43.47856997,478.6950178
Latency,141.9663495,136.4953889,23.00081394,16.71992171
 ,,,,
 ,densenet201,vgg19,resnet50,mobilenet
GPU allocate,10,10,10,25
Batchsize,8,8,1,16
Throughput,55.80573594,57.63674984,43.05017562,669.1280787
Latency,143.3622592,138.8081514,23.22968641,23.9273544
 ,,,,
