,,,,,,,,,,,,,,,,hit sum,miss sum,hit+miss sum,hit rate,l1 read from l2,l1 write to l2,l1 read+write from/to l2,l2 read from dram,l2 write to dram,l2 read+write from/to dram,,,,,,,,,,,,,,,
resnet50,10,16,130.3124925,107,19.67510671,0.1778,,densenet201,75,8,26.89933867,500,1.291162689,0.0504,,131973217,113433588,245406805,0.537773258,238377352,86180435,324557787,115116278,48492046,163608324,,0.214,,616697275.7,530063495.3,1146760771,2.512959148,1113912860,402712313.1,1516625173,537926532.7,226598345.8,764524878.5,,
resnet50,10,16,149.3997627,149,38.76237686,0.3504,,densenet201,75,16,43.64386152,500,2.401594829,0.0582,,128320721,260990144,389310865,0.329609915,378839579,195123691,573963270,263946711,142256852,406203563,,0.298,,430606446.3,875805852.3,1306412299,1.106073539,1271273755,654777486.6,1926051242,885727218.1,477371986.6,1363099205,,
resnet50,10,16,113.6951806,500,3.057794834,0.0276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,16,114.9292044,126,4.291818626,0.0388,,densenet201,90,1,28.0298141,500,3.623781112,0.1485,,,0.252,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,16,131.7843865,108,21.14700073,0.1911,,densenet201,90,8,27.607284,500,2.301160817,0.0909,,,0.216,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,16,157.6794477,138,47.04206187,0.4252,,densenet201,90,16,42.60060896,500,3.371348443,0.0859,,,0.276,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,16,113.7330593,500,3.095673465,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,origin,,203.6976756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,32,207.1054699,96,3.407794263,0.0167,,densenet201,10,1,38.90055463,500,2.415436906,0.0662,,22686222,15030936,37717158,0.601482805,36090672,12206520,48297192,17914337,1749389,19663726,,0.192,,118157406.3,78286125,196443531.3,3.132722944,187972250,63575625,251547875,93303838.54,9111401.042,102415239.6,,
resnet50,10,32,207.9489001,308,4.251224499,0.0209,,densenet201,10,8,126.6737391,500,7.748796505,0.0652,,115208057,131754314,246962371,0.466500449,236851666,86330659,323182325,142264571,51697893,193962464,,0.616,,187026066.6,213886873.4,400912939.9,0.757305924,384499457.8,140147173.7,524646631.5,230948978.9,83925150.97,314874129.9,,
resnet50,10,32,208.7905838,480,5.092908233,0.025,,densenet201,10,16,199.1027542,500,12.11760304,0.0648,,137691091,257830364,395521455,0.348125466,382472342,195536851,578009193,272706918,146807045,419513963,,0.96,,143428219.8,268573295.8,412001515.6,0.362630694,398408689.6,203684219.8,602092909.4,284069706.3,152924005.2,436993711.5,,
resnet50,10,32,207.8373314,500,4.139655821,0.0203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,32,209.4429066,64,5.745231018,0.0282,,densenet201,25,1,25.67045739,500,-0.041567854,-0.0016,,23539259,15030936,38570195,0.610296603,37014917,12208251,49223168,16494139,1727044,18221183,,0.128,,183900460.9,117429187.5,301329648.4,4.767942214,289179039.1,95376960.94,384556000,128860460.9,13492531.25,142352992.2,,
resnet50,10,32,212.9821343,125,9.284458677,0.0456,,densenet201,25,8,52.30285039,500,3.366197858,0.0688,,122597846,124322140,246919986,0.496508395,237911918,86226254,324138172,128140569,49681340,177821909,,0.25,,490391384,497288560,987679944,1.986033581,951647672,344905016,1296552688,512562276,198725360,711287636,,
resnet50,10,32,216.0419453,203,12.34426968,0.0606,,densenet201,25,16,86.42060284,500,4.665984464,0.0571,,131359341,265363338,396722679,0.331111247,384300761,195143217,579443978,272102348,144546326,416648674,,0.406,,323545174.9,653604280.8,977149455.7,0.815544944,946553598.5,480648317.7,1427201916,670202827.6,356025433.5,1026228261,,
resnet50,10,32,207.8398773,500,4.14220175,0.0203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,32,210.0112948,60,6.31361921,0.031,,densenet201,50,1,24.2595961,500,-0.722411564,-0.0289,,23618096,15045852,38663948,0.610855777,37068764,12201701,49270465,16124930,1211766,17336696,,0.12,,196817466.7,125382100,322199566.7,5.090464809,308906366.7,101680841.7,410587208.3,134374416.7,10098050,144472466.7,,
resnet50,10,32,225.4567108,73,21.75903522,0.1068,,densenet201,50,8,31.89949844,500,1.25748272,0.041,,129561256,117671768,247233024,0.524045105,239610816,86220044,325830860,119888543,48201829,168090372,,0.146,,887405863,805971013.7,1693376877,3.589350034,1641169973,590548246.6,2231718219,821154404.1,330149513.7,1151303918,,
resnet50,10,32,242.9950652,110,39.29738957,0.1929,,densenet201,50,16,52.36517361,500,3.113356565,0.0632,,133274876,263570528,396845404,0.335835755,384992802,195227201,580220003,267587148,142844019,410431167,,0.22,,605794890.9,1198047855,1803842745,1.526526161,1749967282,887396368.2,2637363650,1216305218,649290995.5,1865596214,,
resnet50,10,32,207.8700625,500,4.172386869,0.0205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,32,210.0956995,64,6.398023949,0.0314,,densenet201,75,1,25.79257907,500,0.944166711,0.038,,22983408,15036664,38020072,0.604507219,36470994,12196191,48667185,16090340,1525869,17616209,,0.128,,179557875,117473937.5,297031812.5,4.72271265,284929640.6,95282742.19,380212382.8,125705781.3,11920851.56,137626632.8,,
